assunto,cod_assunto,descricao_lei
Aborto qualificado,10919,Artigo 127 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abuso - De Poder Econômico,11718,Artigo 22 da Lc nº 64 de 18 de Maio de 1990
Abuso - De Poder Político/Autoridade,11719,Artigo 22 da Lc nº 64 de 18 de Maio de 1990
Abuso - Uso Indevido de Meio de Comunicação Social,11720,Artigo 22 da Lc nº 64 de 18 de Maio de 1990
Abuso de confiança ou boa fé,11337,Artigo 332 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abuso de Incapazes,5842,Artigo 173 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abuso de Incapazes,9714,Artigo 173 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Abuso de pessoa,11166,Artigo 252 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abuso de Poder,10894,Artigo 5 da Inciso LXIX do Constituição Federal de 1988
Abuso de radiação,11181,Artigo 271 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abuso de requisição militar,11277,Artigo 173 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Abuso Sexual,9968,Artigo 24 da Lei nº 8.069 de 13 de Julho de 1990
Abuso Sexual,9968,Artigo 22 da Lei nº 8.069 de 13 de Julho de 1990
Acidente de Trabalho,2569,Artigo 7 da Constituição Federal de 1988
Acidente de Trabalho,8809,Artigo 7 da Constituição Federal de 1988
Acidente de Trânsito,10504,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Acidente Ferroviário,14910,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Acidente Ferroviário,14911,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Acidentes,14148,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Acidentes,14162,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Adoção Ilegal,14663,Artigo 149 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Adoção Ilegal,14667,Artigo 149 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Adoção Internacional,9972,Artigo 52 da Lei nº 8.069 de 13 de Julho de 1990
Adoção Nacional,9973,Artigo 39 da Lei nº 8.069 de 13 de Julho de 1990
Adulteração de sinal identificador de veículo automotor,9827,Artigo 311 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Adulteração de sinal identificador de veículo automotor,3546,Artigo 311 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Adulteração de sinal identificador de veículo automotor,10992,Artigo 311 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Advertência,11386,Artigo 115 da Lei nº 8.069 de 13 de Julho de 1990
Advertência,11386,Artigo 112 da Lei nº 8.069 de 13 de Julho de 1990
Advertência / Repreensão,10364,Parágrafo 1 Artigo 47 da Lei nº 6.880 de 09 de Dezembro de 1980
Advertência / Repreensão,10364,Artigo 47 da Lei nº 6.880 de 09 de Dezembro de 1980
Advocacia administrativa,3559,Artigo 321 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Advocacia administrativa (art. 321),9839,Artigo 321 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Aliciação para motim ou revolta,11301,Artigo 154 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Aliciamento comercial de eleitores,10826,Artigo 334 da Lei nº 4.737 de 15 de Julho de 1965
Aliciamento de eleitores,10819,Artigo 11 da Lei nº 6.091 de 15 de Agosto de 1974
Aliciamento de trabalhadores de um local para outro do território nacional,3455,Artigo 207 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Aliciamento de trabalhadores de um local para outro do território nacional (art. 207),9732,Artigo 207 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Aliciamento eleitoral,10752,Artigo 302 da Lei nº 4.737 de 15 de Julho de 1965
Aliciamento para fins de emigração,3454,Artigo 206 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Aliciamento para fins de emigração (art. 206),9731,Artigo 206 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Aliciamento violento de eleitores,10825,Artigo 301 da Lei nº 4.737 de 15 de Julho de 1965
Alienação ou oneração fraudulenta de coisa própria,5836,Parágrafo 2 Artigo 171 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Estelionato,5836,Artigo 171 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Alienação ou oneração fraudulenta de coisa própria,9708,Parágrafo 2 Artigo 171 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Estelionato,9708,Artigo 171 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Alienação Parental,11977,Artigo 2 da Lei nº 12.318 de 26 de Agosto de 2010
Alistamento Eleitoral - Cancelamento,11575,Artigo 71 da Lei nº 4.737 de 15 de Julho de 1965
Alistamento Eleitoral - Domicílio Eleitoral,11576,Parágrafo 1 Artigo 42 da Lei nº 4.737 de 15 de Julho de 1965
Alistamento Eleitoral - Duplicidade/Pluralidade,11577,Artigo 71 da Lei nº 4.737 de 15 de Julho de 1965
Alistamento Eleitoral - Exclusão,11578,Artigo 74 da Lei nº 4.737 de 15 de Julho de 1965
Alistamento Eleitoral - Inscrição Eleitoral,11579,Artigo 42 da Lei nº 4.737 de 15 de Julho de 1965
Alteração de limites,11152,Artigo 257 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Alteração de limites,3423,Artigo 161 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
"Alteração de limites (art. 161, caput)",9682,Artigo 161 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Alteração de local especialmente protegido,3429,Artigo 166 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Alteração de local especialmente protegido (art. 166),9688,Artigo 166 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Ameaça,11253,Artigo 223 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Ameaça,3402,Artigo 147 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Ameaça,9661,Artigo 147 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Amotinamento,11297,Artigo 182 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Crime impossível,9915,Artigo 14 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Análogo à Lesão Corporal em Razão da Condição de Mulher,14945,Artigo 103 da Lei nº 8.069 de 13 de Julho de 1990
Lesão corporal,14945,Artigo 129 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Análogo à Lesão Corporal em Razão da Condição de Mulher,14945,Parágrafo 13 Artigo 129 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Análogo à Violência Psicológica contra a Mulher,14944,Artigo 103 da Lei nº 8.069 de 13 de Julho de 1990
Anistia,10625,Artigo 5 da Inciso XLIII do Constituição Federal de 1988
Anistia,11100,Artigo 123 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Anistia Administrativa,10231,Artigo 1 da Lei nº 8.878 de 08 de Setembro de 1994 de São Paulo
Anulação de Débito Fiscal,6004,Artigo 38 da Lei nº 6.830 de Outubro de 2010
Apadrinhamento Cultural,14675,Artigo 19 da Lei nº 8.069 de 13 de Julho de 1990
Apadrinhamento de Criança ou Adolescente,12341,Artigo 19 da Lei nº 8.069 de 13 de Julho de 1990
Apadrinhamento Material,14673,Artigo 19 da Lei nº 8.069 de 13 de Julho de 1990
Apadrinhamento Prestador de Serviço,14674,Artigo 19 da Lei nº 8.069 de 13 de Julho de 1990
Aplicação ilegal de verba ou dinheiro,11338,Artigo 331 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Apologia de crime ou criminoso,9806,Artigo 287 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apologia de crime ou criminoso,5870,Artigo 287 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apologia de fato criminoso ou do seu autor,11302,Artigo 156 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
"Aposição, supressão ou alteração de marca",11153,Artigo 258 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Apropriação de coisa achada,11175,Parágrafo 1 Artigo 249 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Apropriação de coisa achada,5573,Parágrafo 1 Artigo 169 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apropriação de coisa achada,9706,Parágrafo 1 Artigo 169 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apropriação de coisa havida acidentalmente,11176,Artigo 249 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
"Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza",3437,Artigo 169 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
"Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza (art.169)",9696,Artigo 169 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apropriação de Tesouro,9705,Artigo 169 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apropriação indébita,3436,Artigo 168 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apropriação indébita,11177,Artigo 248 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Apropriação indébita,9695,Artigo 168 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Apropriação Indébita Eleitoral,12634,Artigo 354 da Lei nº 4.737 de 15 de Julho de 1965
Apropriação indébita,9689,Artigo 168 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Arrebatamento de preso,3588,Artigo 353 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Arrebatamento de preso,9946,Artigo 353 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Arrebatamento de preso ou internado,11298,Artigo 181 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Arregimentação de Eleitor ou Boca de Urna,11513,Parágrafo 5 Artigo 39 da Lei nº 9.504 de 30 de Setembro de 1997
Arremesso de projétil,11194,Artigo 286 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Arremesso de projétil,9783,Artigo 264 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Arremesso de projétil,3502,Artigo 264 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Assédio Moral,14175,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Assédio sexual,5851,Artigo 216 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Assédio sexual,9749,Artigo 216 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Associação Criminosa,14685,Artigo 288 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Associação Criminosa,14687,Artigo 288 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Assunção de comando sem ordem ou autorização,11278,Artigo 167 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Assunção de Obrigação no Último Ano do Mandato ou Legislatura,5905,Artigo 359 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Assunção de Obrigação no Último Ano do Mandato ou Legislatura,9958,Artigo 359 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Assédio sexual,9744,Artigo 216 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Assédio sexual,3467,Artigo 216 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a liberdade de associação,3448,Artigo 199 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a liberdade de associação (art. 199),9725,Artigo 199 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a liberdade de contrato de trabalho e boicotagem violenta,3447,Artigo 198 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a liberdade de contrato de trabalho e boicotagem violenta (art. 198),9724,Artigo 198 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a liberdade de trabalho,3446,Artigo 197 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a liberdade de trabalho (art. 197),9723,Artigo 197 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de serviço de utilidade pública,3503,Artigo 265 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de serviço de utilidade pública,9784,Artigo 265 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de transporte público,9782,Artigo 263 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de transporte público,9782,Artigo 262 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de transporte público,9782,Artigo 261 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de transporte público,3501,Artigo 263 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de transporte público,3501,Artigo 262 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra a segurança de transporte público,3501,Artigo 261 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado contra serviço de utilidade militar,11195,Artigo 287 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Atentado contra transporte,11196,Artigo 283 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Atentado contra viatura ou outro meio de transporte,11197,Artigo 285 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Atentado contra viatura ou outro meio de transporte,11197,Artigo 284 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Atentado Violento ao Pudor,11249,Artigo 233 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Atentado Violento ao Pudor,9743,Artigo 214 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Atentado Violento ao Pudor,3466,Artigo 214 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Ato / Negócio Jurídico,4701,Artigo 137 da Lei nº 10.406 de 01 de Maio de 1943
Ato Libidinoso,11252,Artigo 235 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Ato obsceno,11231,Artigo 238 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Ato obsceno,14705,Artigo 233 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Crimes contra a Administração Ambiental,14801,Artigo 69 da Lei nº 9.605 de 12 de Fevereiro de 1998
Ausência/Deficiência de Fiscalização,14164,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Ausência/Deficiência de Fiscalização,14166,Parágrafo 6 Artigo 37 da Constituição Federal de 1988
Auto-acusação falsa,11358,Artigo 345 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Auto-acusação falsa,3578,Artigo 341 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Auto-acusação falsa,9936,Artigo 341 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Autofalência,4998,Artigo 107 da Lei nº 11.101 de 09 de Fevereiro de 2005
Autofalência,4998,Artigo 106 da Lei nº 11.101 de 09 de Fevereiro de 2005
Bigamia,9761,Artigo 235 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Bigamia,3479,Artigo 235 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Boca de urna,10755,Parágrafo 5 Artigo 39 da Lei nº 9.504 de 30 de Setembro de 1997
Busca e Apreensão de Bens,10914,Artigo 170 do Decreto Lei nº 1.002 de 21 de Outubro de 1969
Busca e Apreensão de Bens,10914,Artigo 240 do Decreto Lei nº 3.689 de 03 de Outubro de 1941
Busca e Apreensão de Menores,5801,Artigo 839 da Lei nº 5.869 de 11 de Janeiro de 1973
Caça (Lei nº 5.197/67),9884,Artigo 34 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 33 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 32 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 31 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 30 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 29 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 28 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 27 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 26 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 25 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 24 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 23 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 22 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 21 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 20 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 19 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 18 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 17 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 16 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 15 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 14 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 13 da Lei nº 5.197 de 19 de Abril de 1973
Caça (Lei nº 5.197/67),9884,Artigo 12 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 11 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 10 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 9 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 8 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 7 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 6 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 5 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 4 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 3 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 2 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça (Lei nº 5.197/67),9884,Artigo 1 da Lei nº 5.197 de 03 de Janeiro de 1967
Caça Ilegal e Condutas Equiparadas,14779,Parágrafo 1 Artigo 29 da Lei nº 9.605 de 12 de Fevereiro de 1998
Calúnia,3395,Artigo 138 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Calúnia,11262,Artigo 214 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Calúnia,10748,Artigo 324 da Lei nº 4.737 de 15 de Julho de 1965
Calúnia,9656,Artigo 138 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Calúnia na Propaganda Eleitoral,11484,Artigo 324 da Lei nº 4.737 de 15 de Julho de 1965
"Captação Ambiental de Sinais Eletromagnéticos, Ópticos e Acústicos",14876,Artigo 3 da Lei nº 12.850 de 02 de Agosto de 2013
Captação Ilícita de Sufrágio,11721,Artigo 41 da Lei nº 9.504 de 30 de Setembro de 1997
Captação ou Gasto Ilícito de Recursos Financeiros de Campanha Eleitoral,11685,Artigo 30 da Lei nº 9.504 de 30 de Setembro de 1997
Casa de Prostituição,5853,Artigo 229 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Casa de Prostituição,9751,Artigo 229 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Cassação de licença para direção de veículo motorizado,11058,Artigo 115 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Cassação de licença para direção de veículo motorizado,11058,Artigo 110 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Cédula de Crédito à Exportação,4961,Artigo 1 da Lei nº 6.313 de 16 de Dezembro de 1975
Cerceamento da Fiscalização Partidária,11480,Artigo 87 da Lei nº 9.504 de 30 de Setembro de 1997
Certidão ou atestado ideologicamente falso,11318,Artigo 314 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Certidão ou atestado ideologicamente falso,3535,Artigo 301 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Chantagem,11155,Artigo 245 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Charlatanismo,3510,Artigo 283 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Charlatanismo (Art. 283),9791,Artigo 283 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Cheques sem fundos,11319,Artigo 313 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Clonagem Humana - Biossegurança,10516,Artigo 26 da Lei nº 11.105 de 24 de Março de 2005
Coação,11359,Artigo 342 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Coação eleitoral,10824,Artigo 300 da Lei nº 4.737 de 15 de Julho de 1965
Coação no curso do processo,9938,Artigo 344 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Coação no curso do processo,3580,Artigo 344 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Coação Visando a Obtenção de Voto ou a sua Abstenção,11502,Artigo 300 da Lei nº 4.737 de 15 de Julho de 1965
Coleta de Assinatura em Mais de Uma Ficha de Registro Partidário,11520,Artigo 321 da Lei nº 4.737 de 15 de Julho de 1965
"Comércio, Posse ou Tráfico Proveniente de Pesca Ilegal",14785,Parágrafo 1 Artigo 34 da Lei nº 9.605 de 12 de Fevereiro de 1998
"Comércio, Posse ou Tráfico Proveniente de Pesca Ilegal",14785,Artigo 34 da Lei nº 9.605 de 12 de Fevereiro de 1998
Comunicação falsa de crime,11360,Artigo 344 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Comunicação falsa de crime ou de contravenção,3577,Artigo 340 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Comunicação falsa de crime ou de contravenção,9935,Artigo 340 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Concentração de Eleitores para Embaraçar ou Fraudar o Exercício do Voto,11504,Artigo 302 da Lei nº 4.737 de 15 de Julho de 1965
Concussão,11355,Artigo 305 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Concussão,10836,Artigo 305 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Concussão,3553,Artigo 316 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Concussão,9833,Artigo 316 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Condescendência criminosa,11339,Artigo 322 do Decreto Lei nº 1.001 de 21 de Outubro de 1969
Condescendência criminosa,3558,Artigo 320 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Condescendência criminosa (art. 320),9838,Artigo 320 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Condição de Elegibilidade - Alistamento Eleitoral,11586,Artigo 42 da Lei nº 4.737 de 15 de Julho de 1965
Condição de Elegibilidade - Domicílio Eleitoral na Circunscrição,11587,Artigo 9 da Lei nº 9.504 de 30 de Setembro de 1997
Condição de Elegibilidade - Filiação Partidária,11589,Artigo 9 da Lei nº 9.504 de 30 de Setembro de 1997
Condição de Elegibilidade - Idade Mínima,11588,Parágrafo 3 Artigo 14 da Constituição Federal de 1988
Condição de Elegibilidade - Nacionalidade Brasileira,11590,Parágrafo 3 Artigo 14 da Constituição Federal de 1988
Condição de Elegibilidade - Pleno Exercício dos Direitos Políticos,11591,Parágrafo 3 Artigo 14 da Constituição Federal de 1988
Condição de Elegibilidade - Quitação Eleitoral,11592,Parágrafo 7 Artigo 11 da Lei nº 9.504 de 30 de Setembro de 1997
Condição de Elegibilidade - Quitação Eleitoral,11592,Artigo 11 da Lei nº 9.504 de 30 de Setembro de 1997
Condicionamento de Atendimento Médico Hospitalar Emergencial,14690,Artigo 135 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Condicionamento de Atendimento Médico Hospitalar Emergencial (Art. 135-A),14691,Artigo 135 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
Condução de Embarcação ou Aeronave sob Efeito de Drogas,5901,Artigo 39 da Lei nº 11.343 de 23 de Agosto de 2006
Condução de Embarcação ou Aeronave sob Efeito de Drogas,9868,Artigo 39 da Lei nº 11.343 de 23 de Agosto de 2006
Conduta Vedada a Agente Público,11558,Artigo 78 da Lei nº 9.504 de 30 de Setembro de 1997
Conduta Vedada a Agente Público,11558,Artigo 77 da Lei nº 9.504 de 30 de Setembro de 1997
Conduta Vedada a Agente Público,11558,Artigo 76 da Lei nº 9.504 de 30 de Setembro de 1997
Conduta Vedada a Agente Público,11558,Artigo 75 da Lei nº 9.504 de 30 de Setembro de 1997
Conduta Vedada a Agente Público,11558,Artigo 74 da Lei nº 9.504 de 30 de Setembro de 1997
Conduta Vedada a Agente Público,11558,Artigo 73 da Lei nº 9.504 de 30 de Setembro de 1997
